Statistical profiling result from isolate-0x110008000-97458-v8.log, (20311 ticks, 14 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      5    0.0%    0.0%  T __ZN4node14ConnectionWrapINS_7TCPWrapE8uv_tcp_sE12OnConnectionEP11uv_stream_si
      5    0.0%    0.0%  T __ZN2v88Function4CallENS_5LocalINS_7ContextEEENS1_INS_5ValueEEEiPS5_
      4    0.0%    0.0%  t __pthread_mutex_global_init
      4    0.0%    0.0%  t __ZNSt3__16vectorIN2v86GlobalINS1_6ObjectEEENS_9allocatorIS4_EEE8__appendEm
      4    0.0%    0.0%  t __ZN4node6Buffer12_GLOBAL__N_114ByteLengthUtf8ERKN2v820FunctionCallbackInfoINS2_5ValueEEE
      4    0.0%    0.0%  t __ZN4node11Environment14AddCleanupHookEPFvPvES1_
      4    0.0%    0.0%  t __ZN2v88internalL26Builtin_Impl_HandleApiCallENS0_16BuiltinArgumentsEPNS0_7IsolateE
      4    0.0%    0.0%  T _guarded_open_np
      4    0.0%    0.0%  T __ZN4node28DTRACE_NET_SERVER_CONNECTIONERKN2v820FunctionCallbackInfoINS0_5ValueEEE
      4    0.0%    0.0%  T __ZN4node10BaseObject16InternalFieldSetILi2EXadL_ZNK2v85Value10IsFunctionEvEEEEvNS2_5LocalINS2_6StringEEENS4_IS3_EERKNS2_20PropertyCallbackInfoIvEE
      4    0.0%    0.0%  T __ZN2v88internal8Builtins14builtin_handleEi
      3    0.0%    0.0%  t __pthread_tsd_cleanup
      3    0.0%    0.0%  t __ZNSt3__112__hash_tableIN4node19CleanupHookCallbackENS2_4HashENS2_5EqualENS_9allocatorIS2_EEE4findIS2_EENS_15__hash_iteratorIPNS_11__hash_nodeIS2_PvEEEERKT_
      3    0.0%    0.0%  t __ZN4node2fsL18InternalModuleStatERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      3    0.0%    0.0%  t __ZN4node12_GLOBAL__N_16Parser10InitializeERKN2v820FunctionCallbackInfoINS2_5ValueEEE
      3    0.0%    0.0%  t __ZN2v88internal12_GLOBAL__N_124ProbeInstantiationsCacheEPNS0_7IsolateENS0_6HandleINS0_13NativeContextEEEiNS1_11CachingModeE
      3    0.0%    0.0%  t __ZN2v812_GLOBAL__N_114CallDepthScopeILb0EEC1EPNS_8internal7IsolateENS_5LocalINS_7ContextEEE
      3    0.0%    0.0%  T _mach_vm_region
      3    0.0%    0.0%  T __ZNK2v86String10Utf8LengthEPNS_7IsolateE
      3    0.0%    0.0%  T __ZN4node9AsyncWrap21EmitTraceEventDestroyEv
      3    0.0%    0.0%  T __ZN4node9AsyncWrap20EmitTraceEventBeforeEv
      3    0.0%    0.0%  T __ZN4node9AsyncWrap10AsyncResetEN2v85LocalINS1_6ObjectEEEdb
      3    0.0%    0.0%  T __ZN4node7binding18GetInternalBindingERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      3    0.0%    0.0%  T __ZN4node7TTYWrap3NewERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      3    0.0%    0.0%  T __ZN4node6crypto15TimingSafeEqualERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      3    0.0%    0.0%  T __ZN4node20InternalMakeCallbackEPNS_11EnvironmentEN2v85LocalINS2_6ObjectEEES5_NS3_INS2_8FunctionEEEiPNS3_INS2_5ValueEEENS_13async_contextE
      3    0.0%    0.0%  T __ZN4node10contextify17ContextifyContext15CompileFunctionERKN2v820FunctionCallbackInfoINS2_5ValueEEE
      3    0.0%    0.0%  T __ZN2v88internal8Builtins17InvokeApiFunctionEPNS0_7IsolateEbNS0_6HandleINS0_10HeapObjectEEENS4_INS0_6ObjectEEEiPS8_S6_
      3    0.0%    0.0%  T __ZN2v88TryCatchC2EPNS_7IsolateE
      3    0.0%    0.0%  T __ZN2v87Isolate17GetCurrentContextEv
      3    0.0%    0.0%  T __ZN2v87Context4ExitEv
      3    0.0%    0.0%  T __ZN2v820EscapableHandleScopeC2EPNS_7IsolateE
      3    0.0%    0.0%  T __ZN2v811HandleScopeD1Ev
      2    0.0%    0.0%  t __ZN4node2fsL5LStatERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      2    0.0%    0.0%  t __ZN4node2fsL4ReadERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      2    0.0%    0.0%  t __ZN4node15TraceEventScopeC2EPKcS2_Pv
      2    0.0%    0.0%  t __ZN4node12_GLOBAL__N_16Parser6FinishERKN2v820FunctionCallbackInfoINS2_5ValueEEE
      2    0.0%    0.0%  t __ZN4node12_GLOBAL__N_16Parser5ProxyIMS1_FivEXadL_ZNS1_19on_headers_completeEvEEE3RawEP18llhttp__internal_s
      2    0.0%    0.0%  t __ZN4node10task_queueL13RunMicrotasksERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      2    0.0%    0.0%  t __ZN4node10AsyncHooks18push_async_contextEddN2v85LocalINS1_6ObjectEEE
      2    0.0%    0.0%  t __ZN2v88internal9CopyCharsIhtEEvPT0_PKT_m
      2    0.0%    0.0%  t __ZN2v88internal12_GLOBAL__N_117InstantiateObjectEPNS0_7IsolateENS0_6HandleINS0_18ObjectTemplateInfoEEENS4_INS0_10JSReceiverEEEb
      2    0.0%    0.0%  t __ZN2v812_GLOBAL__N_114CallDepthScopeILb1EEC1EPNS_8internal7IsolateENS_5LocalINS_7ContextEEE
      2    0.0%    0.0%  T _mig_strncpy_zerofill
      2    0.0%    0.0%  T __ZThn88_N4node15LibuvStreamWrap7IsAliveEv
      2    0.0%    0.0%  T __ZNK2v86String9WriteUtf8EPNS_7IsolateEPciPii
      2    0.0%    0.0%  T __ZNK2v85Array6LengthEv
